DSTATUS_NO,DSTATUS_CNOTE_NO,DSTATUS_STATUS,DSTATUS_REMARKS,CREATE_DATE,DSTATUS_STATUS_DATE,DSTATUS_MANIFEST_NO_OLD,DSTATUS_BAG_NO_OLD,DSTATUS_MANIFEST_NO_NEW,DSTATUS_MANIFEST_DEST,DSTATUS_MANIFEST_THRU,DSTATUS_BAG_NO_NEW,DSTATUS_ZONE_CODE
SRG/IRG/00070125,013380011705425,PS2,COLOMADU,2026-01-06 14:14:34,2026-01-06 14:13:40,,,,,,,SRG826
CGX/XR/00012217,160280003243025,X1,HP / AU,2026-01-07 15:23:57,2026-01-07 15:23:57,PNK/OM/03208395,AA74112197,,PNK20600BDJ10000,CGX10000,,CGX02
CGK/IRG/00260955,250820000227226,PS2,MISROUTE TGR,2026-01-08 18:37:25,2026-01-08 18:37:08,,,,,,,CGK637
KOE/IRG/00021598,360220000031126,HL1,HOLD PROSES KARANTINA,2026-01-05 22:27:41,2026-01-05 22:26:40,,,,,,,KOE001
AMQ/IRG/00012234,490540004587925,HL3,menunggu jadwal keberangkatan,2026-01-09 15:04:18,2026-01-09 15:02:18,,,,,,,AMQ034
SUB/IRG/00133413,JNRC-1001194983,PS5,DAMAGE CASE,2026-01-07 09:04:33,2026-01-07 09:04:13,,,,,,,SUB346
SUB/IRG/00133421,JNRC-1001194983,PS1,isi kosong,2026-01-07 08:05:16,2026-01-07 08:01:09,,,,,,,SUB564
SUB/IRG/00134055,JT56513877750,HL3,SCHEDULE KAPAL,2026-01-10 17:07:22,2026-01-10 17:07:16,,,,,,,SUB282
BOO/IRG/00123216,TG0013280948,HL1,KG LEBIH,2026-01-06 01:09:05,2026-01-06 01:08:16,,,,,,,BOO001
DPS/IRG/00055133,TG7003999014,PS2,,2026-01-12 14:41:58,2026-01-12 14:41:57,,,,,,,DPS299
BKI/IRG/00086046,0117582600060682,PS2,MR AREA CKR,2026-01-06 15:55:17,2026-01-06 15:54:53,,,,,,,BKI397
DPK/IRG/00056515,013560000101926,PS2,TGR,2026-01-06 08:46:23,2026-01-06 08:46:11,,,,,,,DPK180
MKW/IRG/00003215,210020000066826,HL3,cab. bintuni,2026-01-07 14:13:18,2026-01-07 14:13:07,,,,,,,MKW003
TGR/IRG/00218079,255710000010526,PS1,BOCOR,2026-01-06 15:30:42,2026-01-06 15:30:40,,,,,,,TGR208
SUB/IRG/00133650,2600001704305M03,HL1,KURANG M01,2026-01-08 16:30:43,2026-01-08 16:30:27,,,,,,,SUB564
SUB/IRG/00133650,2600001704305M04,HL1,KURANG M01,2026-01-08 16:30:43,2026-01-08 16:30:30,,,,,,,SUB564
SUB/IRG/00133650,2600001704305M05,HL1,KURANG M01,2026-01-08 16:30:43,2026-01-08 16:30:41,,,,,,,SUB564
BKI/IRG/00086211,CM61165200447,PS2,MR AREA CKR,2026-01-08 18:41:10,2026-01-08 18:38:47,,,,,,,BKI397
SUB/IRG/00133525,JNAP-0249289626,HL3,MENUNGGU JADWAL KAPAL,2026-01-07 21:12:23,2026-01-07 21:12:20,,,,,,,SUB035
TGR/IRG/00218060,010600000203426,PS1,KEMASAN RUSAK,2026-01-06 14:53:51,2026-01-06 14:53:46,,,,,,,TGR215
KRW/IRG/00022390,0117582600060369,PS8,UNMANIFEST,2026-01-07 09:06:15,2026-01-07 09:05:57,,,,,,,KRW010
BKI/IRG/00086089,034930000132126,PS2,TGR10114,2026-01-06 18:58:03,2026-01-06 18:57:57,,,,,,,BKI397
BTH/IRG/00020376,150240018088625,HD3,PENERUSAN ATENSI BEA CUKAI,2026-01-08 10:03:19,2026-01-08 10:02:58,,,,,,,BTH001
BTH/IRG/00020356,150240018088625,HD1,ATENSI BEA CUKAI,2026-01-06 16:13:09,2026-01-06 16:13:06,,,,,,,BTH001
PLW/IRG/00046867,0117582600060393,HL3,,2026-01-10 12:55:34,2026-01-10 12:53:23,,,,,,,PLW50
CKR/IRG/00063804,140700003775025,PS5,Packing rusak dimakan hewan,2026-01-07 13:20:08,2026-01-07 13:19:59,,,,,,,CKR003
PLW/IRG/00046908,160130000062626,HL3,,2026-01-12 13:08:06,2026-01-12 13:07:08,,,,,,,PLW50
AMQ/IRG/00012163,210340000596025,HL3,ETD-06-01-2026-ETA-02-01-2026,2026-01-06 13:44:24,2026-01-06 13:44:17,,,,,,,AMQ034
SMI/IRG/00023199,521670000014426,PS8,UNMANIFEST,2026-01-06 09:49:29,2026-01-06 09:49:24,,,,,,,SMI122
AMQ/IRG/00012203,CM00453879656,HL3,ETD-08-01-2026-ETA-11-01-2026,2026-01-08 11:58:14,2026-01-08 11:57:19,,,,,,,AMQ034
MKQ/IRG/00007025,CM65993440762,HL3,MENUNGGU JADWAL PENERUSAN,2026-01-07 13:23:49,2026-01-07 13:22:27,,,,,,,MKQ001
SUB/IRG/00133493,TG0007880847,HL3,SCHEDULE KAPAL,2026-01-07 17:40:01,2026-01-07 17:39:23,,,,,,,SUB282
BDO/IRG/00123982,023610003711425,PS8,unamifest,2026-01-05 10:12:01,2026-01-05 10:11:57,,,,,,,BDO581
PWT/IRG/00020985,070220000134226,PS2,mr tsm,2026-01-07 20:30:37,2026-01-07 20:30:24,,,,,,,PWT049
MES/IRG/00085279,11003129964484,HL7,TERDELIVERY TGL 7,2026-01-06 10:06:37,2026-01-06 10:03:16,,,,,,,MES004
CGX/XR/00012217,280510004222125,X1,HP SECOND,2026-01-07 15:00:32,2026-01-07 15:00:32,DJB/OM/01362541,AA74039525,,DJB10000PNK10000,CGX10000,,CGX02
CKR/IRG/00063804,581450000016226,PS5,Rusak Rembes/bocor,2026-01-07 09:34:04,2026-01-07 09:33:48,,,,,,,CKR003
AMQ/IRG/00012193,CM27613349953,HL3,MENUNGGU JADWAL KEBERANGKATAN,2026-01-07 17:01:59,2026-01-07 17:01:45,,,,,,,AMQ034
PLM/IRG/00044921,JNEB-1026319984,PS5,jebol,2026-01-06 11:08:59,2026-01-06 11:05:00,,,,,,,PLM283
BOO/IRG/00123546,JT44344529061,PS5,DAMAGE,2026-01-12 07:53:19,2026-01-12 07:53:16,,,,,,,BOO001
,,,,,,,,,,,,,
,,,,,,,,,,,,,
