MHOUNDEL_BRANCH_ID,MHOUNDEL_NO,MHOUNDEL_REMARKS,MHOUNDEL_DATE,MHOUNDEL_USER_ID,MHOUNDEL_ZONE,MHOUNDEL_APPROVE,MHOUNDEL_USER1,MHOUNDEL_USER2,MHOUNDEL_SIGNDATE,MHOUNDEL_FLOW
SUB000,SUB/HOC/00304860,AU Ex UNDEL,2026-01-10 11:03:15,HASBASUB,SUB035,Y,HASBASUB,KHUDA,2026-01-10 00:00:00,C
SUB000,SUB/HOC/00304226,AU Ex UNDEL,2026-01-05 21:03:25,MAHBUB,SUB566,Y,MAHBUB,INDRAB,2026-01-05 00:00:00,C
DPS000,DPS/HOC/00203807,AU Ex UNDEL,2026-01-09 21:21:30,KDKHERY,DPS127,Y,KDKHERY,ARDIKDPS,2026-01-09 00:00:00,C
TGR000,TGR/HOC/00177289,AU Ex UNDEL,2026-01-07 01:58:27,MUHREZ,TGR215,Y,MUHREZ,EMBI,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00577795,AU Ex UNDEL,2026-01-10 14:40:20,LAMHOT,CGK010,Y,LAMHOT,RDWN,2026-01-10 00:00:00,C
CGK000,CGK/HOC/00578160,AU Ex UNDEL,2026-01-13 02:35:56,ARIYADI,CGK010,Y,ARIYADI,EKAMO,2026-01-13 00:00:00,C
CGK000,CGK/HOC/00579454,AU Ex UNDEL,2026-01-19 16:59:26,LAMHOT,CGK010,Y,LAMHOT,RDWN,2026-01-19 00:00:00,C
BDO000,BDO/HOC/00229075,AU Ex UNDEL,2026-01-07 00:46:13,DEAHALI,BDO026,Y,DEAHALI,ISPHAN,2026-01-07 00:00:00,C
PKY000,PKY/HOC/00017778,AU Ex UNDEL,2026-01-10 00:20:26,MYANIPKY,PKY001,Y,MYANIPKY,ILMIAN,2026-01-10 00:00:00,C
SUB000,SUB/HOC/00304463,AU Ex UNDEL,2026-01-07 12:32:19,FANIASUB,SUB015,Y,FANIASUB,PRASE,2026-01-07 00:00:00,C
MXG000,MXG/HOC/00071542,AU Ex UNDEL,2026-01-09 10:23:08,SUMAIYAH,MXG025,Y,SUMAIYAH,AFRIZALF,2026-01-09 00:00:00,C
SUB000,SUB/HOC/00304383,,2026-01-06 21:41:27,FANIASUB,SUB015,Y,FANIASUB,PRASE,2026-01-06 00:00:00,C
SUB000,SUB/HOC/00304383,,2026-01-06 21:41:27,FANIASUB,SUB015,Y,FANIASUB,PRASE,2026-01-06 00:00:00,C
SUB000,SUB/HOC/00304678,AU Ex UNDEL,2026-01-09 02:10:10,IRFENDI,SUB001,Y,IRFENDI,EDMANTUL,2026-01-09 00:00:00,C
TGR000,TGR/HOC/00177342,AU Ex UNDEL,2026-01-07 20:25:43,BUDISS,TGR129,Y,BUDISS,ARMANSYH,2026-01-07 00:00:00,C
TGR000,TGR/HOC/00177382,AU Ex UNDEL,2026-01-07 23:40:58,ARYADUTA,TGR129,Y,ARYADUTA,BRANDO,2026-01-08 00:00:00,C
CGK000,CGK/HOC/00576799,AU Ex UNDEL,2026-01-06 01:20:40,JUMADI,CGK010,Y,JUMADI,EKAMO,2026-01-06 00:00:00,C
JBR000,JBR/HOC/00062341,AU Ex UNDEL,2026-01-07 21:18:13,LUKHAK,JBR004,Y,LUKHAK,RUMYATI,2026-01-07 00:00:00,C
PWT000,PWT/HOC/00101309,AU Ex UNDEL,2026-01-11 01:22:19,DONIPWT,PWT064,Y,DONIPWT,ADRYPWT,2026-01-11 00:00:00,C
CGK000,CGK/HOC/00577026,AU Ex UNDEL,2026-01-07 00:28:32,SANDI J,CGK864,Y,SANDI J,WARDOYO,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00577432,AU Ex UNDEL,2026-01-08 22:18:33,SANDICGK,CGK843,Y,SANDICGK,MAULA_NA,2026-01-08 00:00:00,C
SUB000,SUB/HOC/00304411,AU Ex UNDEL,2026-01-07 05:11:59,IRFENDI,SUB001,Y,IRFENDI,EDMANTUL,2026-01-07 00:00:00,C
DPS000,DPS/HOC/00203510,,2026-01-06 20:59:10,DIHARSO,DPS055,Y,DIHARSO,PUNIDPS,2026-01-06 00:00:00,C
CGK000,CGK/HOC/00576743,,2026-01-05 22:49:38,AWAN_W,CGK637,Y,AWAN_W,RIDHWAN,2026-01-05 00:00:00,C
CGK000,CGK/HOC/00577313,AU Ex UNDEL,2026-01-08 12:39:37,CLAS,CGK843,Y,CLAS,RIDBAR,2026-01-08 00:00:00,C
DJB000,DJB/HOC/00078115,AU Ex UNDEL,2026-01-07 11:27:48,BASINDJB,DJB009,Y,BASINDJB,SMUSLIM,2026-01-07 00:00:00,C
SUB000,SUB/HOC/00305091,AU Ex UNDEL,2026-01-12 11:54:28,MUYASSIR,SUB034,Y,MUYASSIR,TAHA,2026-01-12 00:00:00,C
PNK000,PNK/HOC/00050142,AU Ex UNDEL,2026-01-07 01:12:11,ENDRO K,PNK277,Y,ENDRO K,HIDAYT,2026-01-07 00:00:00,C
SUB000,SUB/HOC/00304383,,2026-01-06 21:41:27,FANIASUB,SUB015,Y,FANIASUB,PRASE,2026-01-06 00:00:00,C
PSR000,PSR/HOC/00009657,AU Ex UNDEL,2026-01-08 18:56:12,DANIPSR,PSR015,Y,DANIPSR,DAFFARIF,2026-01-08 00:00:00,C
BDJ000,BDJ/HOC/00017005,,2026-01-05 19:51:44,MNGANUNN,BDJ001,Y,MNGANUNN,GT RIZA,2026-01-05 00:00:00,C
DPK000,DPK/HOC/00082760,AU Ex UNDEL,2026-01-12 23:22:58,SUPRI_J,DPK001,Y,SUPRI_J,JIMYFT,2026-01-12 00:00:00,C
SUB000,SUB/HOC/00304585,AU Ex UNDEL,2026-01-08 11:17:05,GUSTUSUB,SUB316,Y,GUSTUSUB,MUFALAH,2026-01-08 00:00:00,C
TGR000,TGR/HOC/00177289,AU Ex UNDEL,2026-01-07 01:58:27,MUHREZ,TGR215,Y,MUHREZ,EMBI,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00577049,AU Ex UNDEL,2026-01-07 01:39:10,ARIYADI,CGK010,Y,ARIYADI,EKAMO,2026-01-07 00:00:00,C
PBL000,PBL/HOC/00037432,AU Ex UNDEL,2026-01-09 17:00:47,ARIKSEPR,PBL005,Y,ARIKSEPR,MAZAI,2026-01-09 00:00:00,C
CBN000,CBN/HOC/00092194,AU Ex UNDEL,2026-01-07 12:31:58,KHAMIM,CBN464,Y,KHAMIM,EKPRATA,2026-01-07 00:00:00,C
PWT000,PWT/HOC/00101249,AU Ex UNDEL,2026-01-08 17:22:02,DONIPWT,PWT064,Y,DONIPWT,ADRYPWT,2026-01-08 00:00:00,C
CGK000,CGK/HOC/00577006,AU Ex UNDEL,2026-01-06 23:54:56,SAMIYONO,CGK865,Y,SAMIYONO,CHIRUL,2026-01-07 00:00:00,C
BDO000,BDO/HOC/00228999,,2026-01-05 23:21:22,NAKIR,BDO026,Y,NAKIR,INDRA L,2026-01-05 00:00:00,C
SUB000,SUB/HOC/00304504,AU Ex UNDEL,2026-01-07 18:07:57,MUYASSIR,SUB034,Y,MUYASSIR,TAHA,2026-01-07 00:00:00,C
BKS000,BKS/HOC/00087703,AU Ex UNDEL,2026-01-07 10:04:09,SAVABKS,BKS001,Y,SAVABKS,MARDABKS,2026-01-07 00:00:00,C
SMD000,SMD/HOC/00065360,AU Ex UNDEL,2026-01-06 17:29:02,RSWANAP,SMD001,Y,RSWANAP,RIBRASMD,2026-01-06 00:00:00,C
CGK000,CGK/HOC/00577044,,2026-01-07 01:19:41,WILLYANA,CGK864,Y,WILLYANA,WARDOYO,2026-01-07 00:00:00,C
