DSJ_NO,DSJ_BAG_NO,DSJ_HVO_NO,DSJ_UID,DSJ_CDATE
BKI/DO/00253640,BKI503/24992276,BKI/HVO/00391337,DLIABKI,2026-01-06 10:13:06
BKI/DO/00253649,BKI481/24993407,BKI/HVO/00391363,SUPAG,2026-01-06 11:02:34
CGK/DO/03390820,2239260106040505,CGK/HVO/11209110,M NURSID,2026-01-06 04:38:58
BOO/DO/00466266,BOO423/24988766,BOO/HVO/01107358,ATO,2026-01-06 05:06:19
CGK/DO/03390874,2136260106043105,CGK/HVO/11209296,ARSYADA,2026-01-06 05:32:32
CGK/DO/03390824,2131260106044705,CGK/HVO/11209402,RINALDY,2026-01-06 05:46:18
TGR/DO/00887278,TGR492/24986991,TGR/HVO/04633179,DYKURNIA,2026-01-06 02:24:32
CGK/DO/03391254,2224260106085515,CGK/HVO/11211187,MRIAL,2026-01-06 11:18:29
BOO/DO/00466471,BOO423/24993702,BOO/HVO/01107793,MUHALDI,2026-01-06 11:41:01
BDO/DO/00955743,BDO534/24989208,BDO/HVO/01419923,HADINBDO,2026-01-06 04:02:42
CGK/DO/03391090,CGK843/24991608,CGK/HVO/11210773,MRIAL,2026-01-06 08:26:01
CGK/DO/03391072,CGK1166/24991089,CGK/HVO/11209245,JUMADI,2026-01-06 06:56:22
CGK/DO/03391072,CGK1166/24991186,CGK/HVO/11209245,JUMADI,2026-01-06 06:56:36
BOO/DO/00466341,BOO417/24991376,BOO/HVO/01107545,ERWINSY,2026-01-06 08:08:42
BKI/DO/00253607,BKI475/24989771,BKI/HVO/00391289,SARDI,2026-01-06 08:12:19
BOO/DO/00466383,BOO420/24991799,BOO/HVO/01107589,MUHLIBOO,2026-01-06 09:31:51
BOO/DO/00466339,BOO418/24991705,BOO/HVO/01107572,RAFI_BOO,2026-01-06 09:51:16
BOO/DO/00466256,BOO324/24989483,BOO/HVO/01107418,YUDIBOO,2026-01-06 04:55:23
BKI/DO/00253596,BKI503/24990902,BKI/HVO/00391286,INDRAST,2026-01-06 06:34:22
SRG/DO/01577507,SRG494/24991141,SRG/HVO/02822352,AGTIYSRG,2026-01-06 06:49:30
CGK/DO/03391044,2156260106061007,CGK/HVO/11210088,ARSYADA,2026-01-06 07:00:22
CGK/DO/03391044,2102260106062208,CGK/HVO/11210158,ARSYADA,2026-01-06 07:00:22
BDO/DO/00955890,BDO591/24991222,BDO/HVO/01420048,RIZALBDO,2026-01-06 10:08:51
MES/DO/00473946,MES209/24981551,MES/HVO/01061510,RITA AP,2026-01-05 12:38:15
CBN/DO/00654425,CBN361/24990987,CBN/HVO/00654826,YATYAT,2026-01-06 06:40:49
BDO/DO/00955826,BDO532/24991166,BDO/HVO/01420045,RIKI R,2026-01-06 07:48:31
BKI/DO/00253607,BKI475/24991248,BKI/HVO/00391289,SARDI,2026-01-06 08:12:31
SRG/DO/01577532,SRG1004/24991653,SRG/HVO/02822378,BUDHISRG,2026-01-06 08:03:36
CGK/DO/03391090,2113260106073520,CGK/HVO/11210702,MRIAL,2026-01-06 08:26:01
CGK/DO/03390824,2113260106043615,CGK/HVO/11209350,RINALDY,2026-01-06 05:46:18
BDO/DO/00955893,BDO416/24991762,BDO/HVO/01420075,INDRABDO,2026-01-06 10:17:18
CGK/DO/03391072,CGK1166/24991100,CGK/HVO/11209245,JUMADI,2026-01-06 06:56:25
CGK/DO/03391072,CGK1166/24991167,CGK/HVO/11209245,JUMADI,2026-01-06 06:56:30
CGK/DO/03391072,CGK1166/24991180,CGK/HVO/11209245,JUMADI,2026-01-06 06:56:35
BKI/DO/00253619,BKI422/24991708,BKI/HVO/00391318,DLIABKI,2026-01-06 08:33:38
DPK/DO/00045118,DPK157/24991414,DPK/HVO/00050075,AFADIL,2026-01-06 08:49:38
BKI/DO/00253649,BKI481/24993475,BKI/HVO/00391363,SUPAG,2026-01-06 11:02:39
PDG/DO/00089432,PDG020/24993532,PDG/HVO/00356380,BNTDER,2026-01-06 11:10:49
CGK/DO/03389470,CGK865/24981240,CGK/HVO/11204827,TOMYNTD,2026-01-05 09:31:39
CGK/DO/03389475,CGK864/24981354,CGK/HVO/11204845,TOMYNTD,2026-01-05 09:42:31
SMD/DO/00008105,SMD001/24981087,SMD/HVO/00063730,RISWANTO,2026-01-05 10:16:28
PDG/DO/00089282,PDG068/24982213,PDG/HVO/00356224,M PUTRA,2026-01-05 11:05:06
PDG/DO/00089282,PDG068/24982213,PDG/HVO/00356224,M PUTRA,2026-01-05 11:05:06
PDG/DO/00089282,PDG068/24982213,PDG/HVO/00356224,M PUTRA,2026-01-05 11:05:06
PDG/DO/00089282,PDG068/24982213,PDG/HVO/00356224,M PUTRA,2026-01-05 11:05:06
PDG/DO/00089282,PDG068/24982213,PDG/HVO/00356224,M PUTRA,2026-01-05 11:05:06
PDG/DO/00089289,PDG068/24981735,PDG/HVO/00356208,MUTIAP,2026-01-05 11:18:40
MES/DO/00474017,MES133/24985830,MES/HVO/01061633,ALAMIN,2026-01-05 19:15:44
PLM/DO/00060619,PLM283/24986446,PLM/HVO/00691872,APRIANDI,2026-01-05 20:21:56
CGK/DO/03390691,CGK457/24989047,CGK/HVO/11207745,NUGDESP,2026-01-06 02:52:16
CGK/DO/03390705,2033260106025305,CGK/HVO/11208372,ARSYADA,2026-01-06 03:11:18
PNK/DO/00111955,PNK004/24981780,PNK/HVO/00364176,RAJLIPNK,2026-01-05 10:23:18
PNK/DO/00111955,PNK004/24981780,PNK/HVO/00364176,RAJLIPNK,2026-01-05 10:23:18
PDG/DO/00089328,PDG068/24982366,PDG/HVO/00356227,ELDIHD,2026-01-05 14:07:14
PKU/DO/00163544,PKU027/24983392,PKU/HVO/00775940,MUFADLI,2026-01-05 14:30:04
SUB/DO/00409674,SUB564/24984701,SUB/HVO/01336102,ERGAFAH,2026-01-05 15:49:54
SUB/DO/00409674,SUB564/24984848,SUB/HVO/01336102,ERGAFAH,2026-01-05 15:50:04
BKI/DO/00253481,BKI505/24984267,BKI/HVO/00391203,DIVABKI,2026-01-05 16:43:29
SUB/DO/00409701,SUB576/24985918,SUB/HVO/01336138,TAUFSUB,2026-01-05 18:14:01
CLG/DO/00814424,CLG507/24986383,CLG/HVO/01105854,NIKLAH,2026-01-05 19:50:18
MES/DO/00474042,MES209/24982825,MES/HVO/01061558,RIKAMAY,2026-01-05 20:46:12
MES/DO/00474042,MES209/24982825,MES/HVO/01061558,RIKAMAY,2026-01-05 20:46:12
SUB/DO/00409729,SUB564/24986518,SUB/HVO/01336166,ALDIPRA,2026-01-05 20:55:07
SUB/DO/00409729,SUB564/24986518,SUB/HVO/01336166,ALDIPRA,2026-01-05 20:55:07
