DHOUNDEL_NO,DHOUNDEL_SEQ_NO,DHOUNDEL_CNOTE_NO,DHOUNDEL_QTY,DHOUNDEL_REMARKS,DHOUNDEL_WEIGHT,DHOUNDEL_SERVICE,DHOUNDEL_DEST,DHOUNDEL_GOODS,DHOUNDEL_HRS,CREATE_DATE
SUB/HOC/00304646,25,CM15277347015,1,AU 090126,,,,,SUB/HRS/05168140,2026-01-08 19:58:12
CGK/HOC/00577634,17,CM21159083539,1,AU EX UNDEL,,,,,CGK/HRS/15276376,2026-01-09 19:08:21
PLW/HOC/00064304,19,CM60223175004,1,,,,,,PLW/HRS/00726569,2026-01-09 16:41:12
TGR/HOC/00177289,26,CM75700051719,1,,,,,,TGR/HRS/10802098,2026-01-07 01:59:20
CGK/HOC/00577032,1,CM83276508296,1,,,,,,CGK/HRS/15261926,2026-01-07 00:39:08
CGK/HOC/00577264,101,CM83276508296,1,,,,,,CGK/HRS/15273341,2026-01-08 01:02:05
DPS/HOC/00203487,8,JNAP-0249213237,1,AU TO OPR,,,,,DPS/HRS/02035246,2026-01-06 19:00:27
SUB/HOC/00304383,64,JNAP-9083399655,1,,,,,,SUB/HRS/05167488,2026-01-06 21:43:36
PSR/HOC/00009636,6,JNAT-0007920399,1,,,,,,PSR/HRS/00379836,2026-01-06 20:46:24
PLM/HOC/00067537,9,JNEB-1026320304,1,,,,,,PLM/HRS/03029592,2026-01-06 21:32:40
TGR/HOC/00177258,36,JNRC-1001193780,1,,,,,,TGR/HRS/10799538,2026-01-06 21:59:32
BDO/HOC/00229165,5,JT74412855599,1,,,,,,BDO/HRS/08335371,2026-01-08 13:39:20
KRW/HOC/00074850,38,M440050000240326,1,HO TO INBOUND,,,,,KRW/HRS/01966704,2026-01-07 23:40:02
MDC/HOC/00024062,1,MDCCJ00219742726,1,,,,,,MDC/HRS/00517724,2026-01-14 22:02:43
SUB/HOC/00304672,189,RTKOE26014643162,1,AU AREA 09 JAN 26,,,,,SUB/HRS/05172849,2026-01-09 00:00:51
CGK/HOC/00577016,10,TG3541957577,1,BLM 3XATTEMPT BALIK SP CIPAYNG,,,,,CGK/HRS/15264007,2026-01-07 00:11:54
CGK/HOC/00577265,24,TG3541957577,1,BELUM 3XATEMP BALIK SPCIPAYUNG,,,,,CGK/HRS/15274719,2026-01-08 01:02:36
CGK/HOC/00577206,6,TG3545225779,1,,,,,,CGK/HRS/15269146,2026-01-07 21:53:53
CGK/HOC/00576939,40,TG3546913273,1,,,,,,CGK/HRS/15256413,2026-01-06 20:11:36
