DHOUNDEL_NO,DHOUNDEL_SEQ_NO,DHOUNDEL_CNOTE_NO,DHOUNDEL_QTY,DHOUNDEL_REMARKS,DHOUNDEL_WEIGHT,DHOUNDEL_SERVICE,DHOUNDEL_DEST,DHOUNDEL_GOODS,DHOUNDEL_HRS,CREATE_DATE
CGK/HOC/00576799,10,TG3549507872,1,,,,,,CGK/HRS/15247564,2026-01-06 01:30:07
JBR/HOC/00062341,24,004548956480,1,AU EX UNDEL,,,,,JBR/HRS/00960056,2026-01-07 21:21:11
PWT/HOC/00101309,3,020020000563926,1,,,,,,PWT/HRS/01439846,2026-01-11 01:22:30
CGK/HOC/00577026,23,030510000171926,1,ANTAR ULANG SETIABUDI,,,,,CGK/HRS/15260423,2026-01-07 00:29:34
CGK/HOC/00577432,23,030590000113326,1,,,,,,CGK/HRS/15281445,2026-01-08 22:18:58
SUB/HOC/00304411,67,040050000306226,1,AU SEMAMBUNG,,,,,SUB/HRS/05168011,2026-01-07 05:21:27
DPS/HOC/00203510,43,051570000101726,1,,,,,,DPS/HRS/02035343,2026-01-06 21:00:11
CGK/HOC/00576743,16,080490034397525,1,,,,,,CGK/HRS/15250360,2026-01-05 22:50:04
CGK/HOC/00577313,1,083420000091426,1,AU EX UNDEL,,,,,CGK/HRS/15261622,2026-01-08 12:39:41
DJB/HOC/00078115,8,11003125347331,1,,,,,,DJB/HRS/01343758,2026-01-07 11:28:19
SUB/HOC/00305091,43,174880000393925,1,AU,,,,,SUB/HRS/05178945,2026-01-12 11:55:52
PNK/HOC/00050142,42,541800000163426,1,,,,,,PNK/HRS/01570443,2026-01-07 01:15:30
SUB/HOC/00304383,77,JNAP-0249288316,1,,,,,,SUB/HRS/05167488,2026-01-06 21:44:00
PSR/HOC/00009657,1,JNAP-0249295329,1,,,,,,PSR/HRS/00379970,2026-01-08 18:56:21
BDJ/HOC/00017005,24,RTBDJ26006709659,2,,,,,,BDJ/HRS/00975627,2026-01-05 19:52:25
DPK/HOC/00082760,5,RTPNK26010668716,2,,,,,,DPK/HRS/02479358,2026-01-12 23:23:18
SUB/HOC/00304585,1,TG3543486770,1,,,,,,SUB/HRS/05168580,2026-01-08 11:17:08
TGR/HOC/00177289,27,TG3545390970,1,,,,,,TGR/HRS/10802098,2026-01-07 01:59:21
CGK/HOC/00577049,109,TG3545868471,1,,,,,,CGK/HRS/15261958,2026-01-07 01:41:30
PBL/HOC/00037432,22,002942496559,1,PEMAKSIMALAN AU 10/01/2026,,,,,PBL/HRS/00575574,2026-01-09 17:01:25
CBN/HOC/00092194,132,015290000033426,1,,,,,,CBN/HRS/03105868,2026-01-07 14:13:55
PWT/HOC/00101249,5,015940000093526,1,,,,,,PWT/HRS/01438080,2026-01-08 17:24:03
CGK/HOC/00577006,75,021130000212926,1,,,,,,CGK/HRS/15263609,2026-01-07 00:00:39
BDO/HOC/00228999,24,022700000491926,1,AU NARIPAN 05 01 2026,,,,,BDO/HRS/08328555,2026-01-05 23:22:15
SUB/HOC/00304504,1,030740000172026,1,AU,,,,,SUB/HRS/05169042,2026-01-07 18:08:01
BKS/HOC/00087703,10,11003110299438,1,NOMER HP TIDAK AKTIF,,,,,BKS/HRS/00967742,2026-01-07 10:04:33
SMD/HOC/00065360,2,130590000121126,1,DS,,,,,SMD/HRS/00623675,2026-01-06 17:29:09
CGK/HOC/00577044,119,253160000220126,1,ANTAR ULANG,,,,,CGK/HRS/15264594,2026-01-07 01:22:20
BOO/HOC/00096969,3,521870001019525,1,ANTAR ULANG KE AREA,,,,,BOO/HRS/07744536,2026-01-06 21:17:09
MGL/HOC/00018255,92,631710000061526,1,,,,,,MGL/HRS/01199057,2026-01-08 09:50:10
UPG/HOC/00093014,373,CM21128631296,1,,,,,,UPG/HRS/02141021,2026-01-15 15:36:19
SUB/HOC/00304557,11,CM28848676477,1,AU SUB UTARA,,,,,SUB/HRS/05168402,2026-01-08 07:21:19
CGK/HOC/00577230,110,CM81354316385,1,,,,,,CGK/HRS/15272778,2026-01-07 23:29:55
CGK/HOC/00577976,4,JT24533875177,1,AU EX UNDEL,,,,,CGK/HRS/15294230,2026-01-11 17:45:43
BOO/HOC/00097025,59,LNCH260104NNFHQL,1,,,,,,BOO/HRS/07749449,2026-01-08 00:20:45
CLG/HOC/00148604,124,RTCLG26029602202,1,,,,,,CLG/HRS/02841985,2026-01-06 23:07:19
